date,city,state,qty_cases,qty_deaths,ibge_id
2020-03-29,ACRELANDIA,AC,2,0,1200013
2020-03-30,ACRELANDIA,AC,6,0,1200013
2020-03-31,ACRELANDIA,AC,7,0,1200013
2020-04-01,ACRELANDIA,AC,8,0,1200013
2020-03-29,PORTO ACRE,AC,1,0,1200807
2020-03-30,PORTO ACRE,AC,1,0,1200807
2020-03-31,PORTO ACRE,AC,1,0,1200807
2020-04-01,PORTO ACRE,AC,1,0,1200807
2020-03-17,RIO BRANCO,AC,3,0,1200401
2020-03-18,RIO BRANCO,AC,3,0,1200401
2020-03-19,RIO BRANCO,AC,4,0,1200401
2020-03-20,RIO BRANCO,AC,7,0,1200401
2020-03-21,RIO BRANCO,AC,11,0,1200401
2020-03-22,RIO BRANCO,AC,11,0,1200401
2020-03-23,RIO BRANCO,AC,17,0,1200401
2020-03-24,RIO BRANCO,AC,21,0,1200401
2020-03-25,RIO BRANCO,AC,23,0,1200401
2020-03-26,RIO BRANCO,AC,23,0,1200401
2020-03-27,RIO BRANCO,AC,25,0,1200401
2020-03-28,RIO BRANCO,AC,25,0,1200401
2020-03-29,RIO BRANCO,AC,31,0,1200401
2020-03-30,RIO BRANCO,AC,34,0,1200401
2020-03-31,RIO BRANCO,AC,34,0,1200401
2020-04-01,RIO BRANCO,AC,34,0,1200401
2020-03-08,MACEIO,AL,1,0,2704302
2020-03-09,MACEIO,AL,1,0,2704302
2020-03-10,MACEIO,AL,1,0,2704302
2020-03-11,MACEIO,AL,1,0,2704302
2020-03-12,MACEIO,AL,1,0,2704302
2020-03-13,MACEIO,AL,1,0,2704302
2020-03-14,MACEIO,AL,1,0,2704302
2020-03-15,MACEIO,AL,1,0,2704302
2020-03-16,MACEIO,AL,1,0,2704302
2020-03-17,MACEIO,AL,1,0,2704302
2020-03-18,MACEIO,AL,1,0,2704302
2020-03-19,MACEIO,AL,4,0,2704302
2020-03-20,MACEIO,AL,6,0,2704302
2020-03-21,MACEIO,AL,7,0,2704302
2020-03-22,MACEIO,AL,7,0,2704302
2020-03-23,MACEIO,AL,8,0,2704302
2020-03-24,MACEIO,AL,10,0,2704302
2020-03-25,MACEIO,AL,10,0,2704302
2020-03-26,MACEIO,AL,10,0,2704302
2020-03-27,MACEIO,AL,11,0,2704302
2020-03-28,MACEIO,AL,13,0,2704302
2020-03-29,MACEIO,AL,16,0,2704302
2020-03-30,MACEIO,AL,16,0,2704302
2020-03-31,MACEIO,AL,17,0,2704302
2020-04-01,MACEIO,AL,17,1,2704302
2020-03-25,PORTO REAL DO COLEGIO,AL,1,0,2707503
2020-03-26,PORTO REAL DO COLEGIO,AL,1,0,2707503
2020-03-27,PORTO REAL DO COLEGIO,AL,1,0,2707503
2020-03-28,PORTO REAL DO COLEGIO,AL,1,0,2707503
2020-03-29,PORTO REAL DO COLEGIO,AL,1,0,2707503
2020-03-30,PORTO REAL DO COLEGIO,AL,1,0,2707503
2020-03-31,PORTO REAL DO COLEGIO,AL,1,0,2707503
2020-04-01,PORTO REAL DO COLEGIO,AL,1,0,2707503
2020-04-01,undefined,AL,4,0,-1
2020-03-29,ANORI,AM,1,0,1300102
2020-03-30,ANORI,AM,1,0,1300102
2020-03-31,ANORI,AM,1,0,1300102
2020-04-01,ANORI,AM,1,0,1300102
2020-03-26,BOCA DO ACRE,AM,1,0,1300706
2020-03-27,BOCA DO ACRE,AM,1,0,1300706
2020-03-28,BOCA DO ACRE,AM,1,0,1300706
2020-03-29,BOCA DO ACRE,AM,1,0,1300706
2020-03-30,BOCA DO ACRE,AM,1,0,1300706
2020-03-31,BOCA DO ACRE,AM,1,0,1300706
2020-04-01,BOCA DO ACRE,AM,1,0,1300706
2020-04-01,CAREIRO DA VARZEA,AM,1,0,1301159
2020-03-29,ITACOATIARA,AM,2,0,1301902
2020-03-30,ITACOATIARA,AM,2,0,1301902
2020-03-31,ITACOATIARA,AM,4,0,1301902
2020-04-01,ITACOATIARA,AM,4,0,1301902
2020-03-27,MANACAPURU,AM,2,0,1302504
2020-03-28,MANACAPURU,AM,2,0,1302504
2020-03-29,MANACAPURU,AM,2,0,1302504
2020-03-30,MANACAPURU,AM,2,0,1302504
2020-03-31,MANACAPURU,AM,4,0,1302504
2020-04-01,MANACAPURU,AM,6,0,1302504
2020-03-13,MANAUS,AM,1,0,1302603
2020-03-14,MANAUS,AM,1,0,1302603
2020-03-15,MANAUS,AM,1,0,1302603
2020-03-16,MANAUS,AM,1,0,1302603
2020-03-17,MANAUS,AM,1,0,1302603
2020-03-18,MANAUS,AM,2,0,1302603
2020-03-19,MANAUS,AM,3,0,1302603
2020-03-20,MANAUS,AM,7,0,1302603
2020-03-21,MANAUS,AM,11,0,1302603
2020-03-22,MANAUS,AM,25,0,1302603
2020-03-23,MANAUS,AM,31,0,1302603
2020-03-24,MANAUS,AM,45,0,1302603
2020-03-25,MANAUS,AM,52,0,1302603
2020-03-26,MANAUS,AM,63,0,1302603
2020-03-27,MANAUS,AM,75,0,1302603
2020-03-28,MANAUS,AM,105,0,1302603
2020-03-29,MANAUS,AM,131,0,1302603
2020-03-30,MANAUS,AM,140,0,1302603
2020-03-31,MANAUS,AM,160,2,1302603
2020-04-01,MANAUS,AM,179,2,1302603
2020-03-30,NOVO AIRAO,AM,1,0,1303205
2020-03-31,NOVO AIRAO,AM,1,0,1303205
2020-04-01,NOVO AIRAO,AM,1,0,1303205
2020-03-22,PARINTINS,AM,1,0,1303403
2020-03-23,PARINTINS,AM,1,0,1303403
